Page,Edits,Editors,Views
"Новий Заповіт",?,?,7124
"Додаток (мовознавство)",?,?,7121
"Хрущовська відлига",?,?,7107
"Світязь (балада)",?,?,7101
"Мислення",?,?,7085
"Способи самогубства",?,?,7085
"Революції 1848—1849 років",?,?,7083
"Альберт Ейнштейн",?,?,7082
"Руїна",?,?,7076
"Фізична особа-підприємець",?,?,7072
"Фізичне явище",?,?,7072
"Чотирнадцять пунктів Вілсона",?,?,7068
"Сполучна тканина",?,?,7064
"Черкаси (морський тральщик)",?,?,7063
"Міжнародна організація",?,?,7059
"Нейтрофіли",?,?,7048
"Гліколіз",?,?,7047
"Магнітні матеріали",?,?,7042
"Публіцистичний стиль мовлення",?,?,7038
"Біологія",?,?,7031
"JavaScript",?,?,7026
"Повітря",?,?,7024
"Список держав та залежних територій Європи",?,?,7023
"Виконавча влада",?,?,7023
"Материк",?,?,7022
"Титанік",?,?,7015
"Садовий Андрій Іванович",?,?,7005
"Бельгія",?,?,7001
"Правова держава",?,?,7001
"Способи живлення організмів",?,?,6992
"14 жовтня",?,?,6990
"Нова Пошта",?,?,6987
"Популяція",?,?,6987
"Хомчак Руслан Борисович",?,?,6986
"Драма (жанр)",?,?,6985
"Чернівці",?,?,6985
"Більшовики",?,?,6979
"Європейська інтеграція",?,?,6970
"Коцюбинський Михайло Михайлович",?,?,6960
"Кревська унія",?,?,6959
"Кисень",?,?,6955
"Вашингтонська морська конференція",?,?,6953
"Підшлункова залоза",?,?,6946
"Кількість речовини",?,?,6928
"Адміністративний устрій України",?,?,6923
"Зеленська Олена Володимирівна",?,?,6922
"Печериця",?,?,6922
"Теофімо Лопес",?,?,6920
"Тупицький Олександр Миколайович",?,?,6915
"Ізомери",?,?,6909
"Галичина",?,?,6907
"Політика",?,?,6897
"Область України",?,?,6894
"Антична культура",?,?,6892
"Піраміда (геометрія)",?,?,6889
"Вікіпедія",?,?,6876
"Нікола Тесла",?,?,6871
"Бразилія",?,?,6868
"Кухонна сіль",?,?,6867
"Лисенківщина",?,?,6867
"Сім'я",?,?,6867
"Антибіотики",?,?,6861
"Османська імперія",?,?,6860
"Китай",?,?,6855
"Опік",?,?,6852
"Мейхер Надія Олександрівна",?,?,6851
"Павуки",?,?,6848
"Іван Сірко",?,?,6845
"Хмельницький",?,?,6841
"Нові індустріальні країни",?,?,6836
"Електромагніт",?,?,6836
"Авангардизм",?,?,6834
"Складносурядне речення",?,?,6831
"Музика",?,?,6828
"Екосистема",?,?,6827
"Опорно-рухова система",?,?,6823
"Пам'ять",?,?,6816
"Стів Джобс",?,?,6814
"Давньогрецькі колонії Північного Причорномор'я",?,?,6812
"MacOS",?,?,6804
"Неорганічна речовина",?,?,6802
"Словаччина",?,?,6792
"Дихальна система",?,?,6791
"Луцьк",?,?,6789
"Кобзар",?,?,6789
"Гривня",?,?,6785
"Неокласики",?,?,6783
"Східний фронт (Перша світова війна)",?,?,6780
"Рефлекторна дуга",?,?,6777
"Партія Шарія",?,?,6774
"Стус Дмитро Васильович",?,?,6770
"Грип",?,?,6768
"Жінка (телесеріал, Туреччина)",?,?,6767
"Українські соціально-побутові пісні",?,?,6761
"Поліомієліт",?,?,6754
"Тернопіль",?,?,6742
"Напівпровідник",?,?,6737
"Неоподатковуваний мінімум",?,?,6734
"Галузь права",?,?,6732
"Печінка",?,?,6731
"Чапкіс Григорій Миколайович",?,?,6730
"Карабаська війна",?,?,6723
"Обставина",?,?,6715
"Філософія Відродження",?,?,6715
"Янукович Віктор Федорович",?,?,6714
"Комунікація",?,?,6713
"Операція «Захід»",?,?,6705
"Економіка Ісландії",?,?,6701
"Крохмаль",?,?,6700
"Верденська битва",?,?,6688
"Кличко Володимир Володимирович",?,?,6682
"Києво-Печерська лавра",?,?,6682
"США в Першій світовій війні",?,?,6679
"Правила вживання м'якого знака в українській мові",?,?,6678
"Вальтер Скотт",?,?,6676
"Схоластика",?,?,6660
"Вільне падіння",?,?,6655
"Корисні копалини України",?,?,6655
"Літературні жанри",?,?,6652
"Акціонерне товариство",?,?,6647
"Стиль мовлення",?,?,6646
"Маланюк Євген Филимонович",?,?,6645
"Ленін Володимир Ілліч",?,?,6645
"Римська імперія",?,?,6645
"Чорновіл В'ячеслав Максимович",?,?,6643
"Дімопулос Санта Янісівна",?,?,6642
"Метан",?,?,6641
"Рада Європи",?,?,6641
"Отче наш",?,?,6640
"Агностицизм",?,?,6639
"Чумацтво",?,?,6638
"Скелетні м'язи",?,?,6631
"Латинська мова",?,?,6620
"Літературна дискусія 1925–1928",?,?,6617
"Стрес",?,?,6610
"Шлях (фізика)",?,?,6606
"Біологічні ритми",?,?,6602
"Родовий відмінок однини іменників чоловічого роду другої відміни",?,?,6602
"Кривий Ріг",?,?,6598
"Територіальна громада України",?,?,6594
"Список країн за ІЛР",?,?,6592
"Менеджмент",?,?,6584
